fecha,temperatura,ley_T,humedad,ley_H,iluminancia,ley_I,oxigeno,ley_O
2026-07-03T16:38:51,36.45,-,36.41,-,0.9,-,44.32,-
2026-07-03T16:38:41,36.66,-,38.67,-,1.22,-,68.17,-
2026-07-03T16:38:31,36.49,-,43.6,-,0.87,-,42.35,-
2026-07-03T16:38:01,36.75,-,37.97,-,0.79,-,49.28,-
2026-07-03T16:37:11,36.63,-,38.91,-,1.11,-,45.0,-
2026-07-03T16:37:01,36.21,-,35.04,-,1.11,-,55.88,-
2026-07-03T16:36:41,36.43,-,43.74,-,0.99,-,46.58,-
2026-07-03T16:34:11,36.33,-,35.0,-,0.63,-,47.25,-
2026-07-03T16:34:01,36.45,-,35.87,-,1.07,-,61.32,-
2026-07-03T16:33:51,36.65,-,57.82,alta,1.1,-,52.78,-
2026-07-03T16:33:11,36.3,-,42.75,-,1.15,-,59.49,-
2026-07-03T16:32:31,36.61,-,43.53,-,1.11,-,48.18,-
2026-07-03T16:32:21,36.32,-,41.88,-,0.81,-,53.6,-
2026-07-03T16:32:11,36.72,-,45.07,-,0.77,-,54.58,-
2026-07-03T16:32:01,36.39,-,42.37,-,0.77,-,60.65,-
2026-07-03T16:31:51,36.46,-,35.65,-,0.7,-,65.33,-
2026-07-03T16:31:41,36.39,-,43.39,-,0.79,-,43.73,-
2026-07-03T16:30:21,36.36,-,35.01,-,1.18,-,53.3,-
2026-07-03T16:30:01,36.24,-,45.2,-,1.08,-,60.35,-
2026-07-03T16:29:51,36.33,-,35.66,-,0.87,-,67.57,-
2026-07-03T16:29:21,36.33,-,37.17,-,1.06,-,57.98,-
2026-07-03T16:28:51,36.48,-,38.92,-,0.82,-,53.67,-
2026-07-03T16:28:31,36.35,-,34.28,-,1.02,-,47.54,-
2026-07-03T16:28:21,36.29,-,40.96,-,1.12,-,54.16,-
2026-07-03T16:28:11,36.71,-,36.02,-,0.92,-,57.06,-
2026-07-03T16:27:31,36.79,-,40.16,-,1.02,-,67.41,-
2026-07-03T16:27:01,36.47,-,42.61,-,0.9,-,70.18,-
2026-07-03T16:26:51,36.51,-,45.8,-,0.9,-,62.93,-
2026-07-03T16:26:41,36.27,-,44.08,-,0.99,-,53.6,-
2026-07-03T16:26:31,36.78,-,41.05,-,1.07,-,67.26,-
2026-07-03T16:26:21,36.4,-,42.16,-,1.1,-,54.44,-
2026-07-03T16:25:41,36.42,-,43.46,-,0.89,-,44.21,-
2026-07-03T16:24:51,36.27,-,40.98,-,1.11,-,66.16,-
2026-07-03T16:24:31,36.44,-,35.61,-,1.02,-,47.01,-
2026-07-03T16:24:01,36.51,-,39.7,-,1.11,-,66.4,-
2026-07-03T16:23:51,36.26,-,39.52,-,1.27,-,60.9,-
2026-07-03T16:23:41,36.34,-,38.75,-,1.19,-,42.27,-
2026-07-03T16:23:21,36.27,-,40.65,-,1.02,-,65.06,-
2026-07-03T16:23:11,36.39,-,42.92,-,0.88,-,48.56,-
2026-07-03T16:23:01,36.47,-,45.43,-,1.19,-,65.35,-
2026-07-03T16:22:51,36.49,-,45.74,-,0.94,-,49.81,-
2026-07-03T16:22:41,36.24,-,43.45,-,0.64,-,67.72,-
2026-07-03T16:22:31,36.33,-,38.34,-,1.1,-,48.57,-
2026-07-03T16:22:21,36.32,-,40.94,-,1.17,-,64.94,-
2026-07-03T16:22:11,36.8,-,41.08,-,0.76,-,70.3,-
2026-07-03T16:22:01,36.34,-,39.14,-,0.71,-,44.15,-
2026-07-03T16:21:51,36.33,-,38.99,-,0.73,-,53.16,-
2026-07-03T16:21:41,36.45,-,39.98,-,1.02,-,43.64,-
2026-07-03T16:21:31,36.22,-,40.42,-,0.84,-,51.09,-
2026-07-03T16:21:21,36.29,-,38.7,-,1.05,-,55.62,-
2026-07-03T16:21:11,36.29,-,43.86,-,0.6,-,48.73,-
2026-07-03T16:21:01,36.37,-,34.34,-,1.02,-,42.85,-
2026-07-03T16:20:51,36.59,-,41.83,-,1.02,-,65.28,-
2026-07-03T16:20:41,36.45,-,35.83,-,1.02,-,60.71,-
2026-07-03T16:20:31,36.61,-,41.85,-,0.64,-,59.05,-
2026-07-03T16:20:21,36.52,-,37.38,-,1.11,-,51.66,-
2026-07-03T16:20:11,36.45,-,37.3,-,0.62,-,43.48,-
2026-07-03T15:53:40,36.22,-,34.16,-,0.84,-,48.97,-
2026-07-03T15:52:10,36.61,-,43.86,-,1.2,-,57.48,-
2026-07-03T15:51:50,36.6,-,45.7,-,0.69,-,62.55,-
2026-07-03T15:51:40,36.27,-,45.81,-,0.64,-,67.8,-
2026-07-03T15:51:20,36.45,-,36.87,-,0.9,-,46.43,-
2026-07-03T15:51:10,36.65,-,34.91,-,0.77,-,51.84,-
2026-07-03T15:50:50,36.64,-,38.88,-,1.25,-,69.64,-
2026-07-03T15:50:30,36.47,-,45.68,-,1.19,-,44.47,-
2026-07-03T15:50:20,36.67,-,39.19,-,0.86,-,54.21,-
2026-07-03T15:50:10,36.22,-,35.92,-,0.87,-,46.61,-
2026-07-03T15:50:00,36.74,-,37.3,-,1.12,-,65.71,-
2026-07-03T15:49:50,36.64,-,44.89,-,1.15,-,57.27,-
2026-07-02T22:35:31,36.67,-,38.54,-,1.14,-,56.16,-
2026-07-02T22:35:11,36.39,-,35.96,-,1.08,-,49.85,-
2026-07-02T22:35:01,36.52,-,45.7,-,0.85,-,65.47,-
2026-07-02T22:34:51,36.44,-,45.02,-,1.21,-,69.84,-
2026-07-02T22:34:41,36.54,-,43.97,-,0.69,-,68.59,-
2026-07-02T22:34:31,36.76,-,37.13,-,1.04,-,44.89,-
2026-07-02T22:34:21,36.47,-,45.11,-,1.02,-,42.88,-
2026-07-02T22:34:11,36.3,-,39.86,-,0.88,-,64.56,-
2026-07-02T22:34:01,36.71,-,40.71,-,1.1,-,50.99,-
2026-07-02T22:33:51,36.26,-,37.98,-,0.59,-,53.31,-
2026-07-02T22:33:41,36.69,-,44.35,-,1.08,-,54.32,-
2026-07-02T22:33:31,36.44,-,38.74,-,0.86,-,55.61,-
2026-07-02T22:33:21,36.36,-,38.82,-,0.75,-,96.78,alto
2026-07-02T22:33:11,36.67,-,43.3,-,0.95,-,65.33,-
2026-07-02T22:33:01,36.43,-,40.95,-,0.9,-,67.66,-
2026-07-02T22:32:51,36.7,-,38.98,-,1.17,-,53.5,-
2026-07-02T22:32:41,36.72,-,41.92,-,0.65,-,52.6,-
2026-07-02T22:32:31,36.38,-,40.25,-,0.9,-,43.58,-
2026-07-02T22:32:21,36.54,-,45.46,-,0.86,-,54.3,-
2026-07-02T22:32:11,36.29,-,35.69,-,1.07,-,61.8,-
2026-07-02T22:32:01,36.57,-,44.51,-,0.7,-,41.66,-
2026-07-02T22:31:51,36.57,-,45.27,-,1.17,-,55.3,-
2026-07-02T22:31:41,36.74,-,43.06,-,1.01,-,56.83,-
2026-07-02T22:31:31,36.43,-,36.76,-,0.77,-,54.06,-
2026-07-02T22:31:21,36.23,-,38.25,-,0.63,-,67.3,-
2026-07-02T22:31:11,36.35,-,45.23,-,1.02,-,58.61,-
2026-07-02T22:31:01,36.69,-,37.25,-,0.79,-,63.72,-
2026-07-02T22:30:51,36.6,-,37.47,-,1.2,-,55.75,-
2026-07-02T22:30:41,36.61,-,35.69,-,0.93,-,58.96,-
2026-07-02T22:30:31,36.79,-,45.8,-,0.67,-,48.12,-
2026-07-02T22:30:21,36.52,-,43.52,-,0.67,-,68.51,-
2026-07-02T22:30:11,36.47,-,42.72,-,1.17,-,64.27,-
2026-07-02T22:30:01,36.49,-,39.87,-,1.25,-,60.44,-
2026-07-02T22:29:51,36.61,-,40.53,-,0.65,-,60.87,-
2026-07-02T22:29:41,36.46,-,21.56,baja,0.92,-,55.24,-
2026-07-02T22:29:31,36.77,-,43.18,-,0.74,-,61.62,-
2026-07-02T22:29:21,36.44,-,45.93,-,1.27,-,52.59,-
2026-07-02T22:29:11,36.79,-,39.61,-,0.63,-,46.53,-
2026-07-02T22:29:01,36.43,-,42.29,-,1.25,-,58.61,-
2026-07-02T22:28:51,36.29,-,40.09,-,1.13,-,48.78,-
2026-07-02T22:28:41,36.22,-,42.4,-,1.16,-,58.26,-
